file_name,shape,texture
bird8-chair1.png,bird8,chair1
bird8-knife2.png,bird8,knife2
bird6-truck2.png,bird6,truck2
bird3-bear3.png,bird3,bear3
bird8-bottle1.png,bird8,bottle1
bird5-chair1.png,bird5,chair1
bird4-airplane1.png,bird4,airplane1
bird1-oven1.png,bird1,oven1
bird5-bird1.png,bird5,bird1
bird8-keyboard2.png,bird8,keyboard2
bird3-boat3.png,bird3,boat3
bird7-cat3.png,bird7,cat3
bird3-bird2.png,bird3,bird2
bird7-oven3.png,bird7,oven3
bird8-boat3.png,bird8,boat3
bird9-elephant2.png,bird9,elephant2
bird9-bicycle3.png,bird9,bicycle3
bird5-bear3.png,bird5,bear3
bird8-clock1.png,bird8,clock1
bird3-truck3.png,bird3,truck3
bird4-bicycle2.png,bird4,bicycle2
bird2-clock3.png,bird2,clock3
bird7-bottle1.png,bird7,bottle1
bird10-cat1.png,bird10,cat1
bird5-keyboard2.png,bird5,keyboard2
bird7-knife2.png,bird7,knife2
bird1-keyboard3.png,bird1,keyboard3
bird10-bird2.png,bird10,bird2
bird10-bear2.png,bird10,bear2
bird2-bird2.png,bird2,bird2
bird1-truck1.png,bird1,truck1
bird9-bear3.png,bird9,bear3
bird6-car3.png,bird6,car3
bird6-oven1.png,bird6,oven1
bird5-bicycle1.png,bird5,bicycle1
bird7-car2.png,bird7,car2
bird2-knife1.png,bird2,knife1
bird7-bird2.png,bird7,bird2
bird1-elephant2.png,bird1,elephant2
bird2-dog2.png,bird2,dog2
bird1-bear1.png,bird1,bear1
bird1-boat1.png,bird1,boat1
bird7-keyboard3.png,bird7,keyboard3
bird1-knife3.png,bird1,knife3
bird4-clock1.png,bird4,clock1
bird10-chair1.png,bird10,chair1
bird4-cat3.png,bird4,cat3
bird3-dog1.png,bird3,dog1
bird9-dog2.png,bird9,dog2
bird1-chair2.png,bird1,chair2
bird5-cat2.png,bird5,cat2
bird3-oven1.png,bird3,oven1
bird2-car3.png,bird2,car3
bird7-truck2.png,bird7,truck2
bird7-boat1.png,bird7,boat1
bird9-chair1.png,bird9,chair1
bird1-clock3.png,bird1,clock3
bird1-bicycle2.png,bird1,bicycle2
bird5-oven3.png,bird5,oven3
bird10-bicycle1.png,bird10,bicycle1
bird10-clock1.png,bird10,clock1
bird9-bottle3.png,bird9,bottle3
bird8-car2.png,bird8,car2
bird6-elephant2.png,bird6,elephant2
bird3-knife3.png,bird3,knife3
bird10-elephant2.png,bird10,elephant2
bird5-car2.png,bird5,car2
bird3-bottle2.png,bird3,bottle2
bird8-elephant1.png,bird8,elephant1
bird6-airplane2.png,bird6,airplane2
bird2-airplane3.png,bird2,airplane3
bird5-dog2.png,bird5,dog2
bird1-airplane2.png,bird1,airplane2
bird9-keyboard1.png,bird9,keyboard1
bird5-airplane3.png,bird5,airplane3
bird5-truck2.png,bird5,truck2
bird6-bottle3.png,bird6,bottle3
bird4-dog3.png,bird4,dog3
bird3-cat1.png,bird3,cat1
bird6-boat2.png,bird6,boat2
