file_name,shape,texture
bottle7-elephant2.png,bottle7,elephant2
bottle5-keyboard2.png,bottle5,keyboard2
bottle7-oven2.png,bottle7,oven2
bottle1-keyboard3.png,bottle1,keyboard3
bottle5-boat1.png,bottle5,boat1
bottle1-clock1.png,bottle1,clock1
bottle1-car1.png,bottle1,car1
bottle3-bird1.png,bottle3,bird1
bottle10-dog1.png,bottle10,dog1
bottle7-truck2.png,bottle7,truck2
bottle5-bird3.png,bottle5,bird3
bottle1-chair2.png,bottle1,chair2
bottle9-bottle1.png,bottle9,bottle1
bottle8-bird1.png,bottle8,bird1
bottle1-dog2.png,bottle1,dog2
bottle7-cat2.png,bottle7,cat2
bottle10-clock2.png,bottle10,clock2
bottle3-boat3.png,bottle3,boat3
bottle10-car1.png,bottle10,car1
bottle3-bear2.png,bottle3,bear2
bottle6-oven3.png,bottle6,oven3
bottle6-dog3.png,bottle6,dog3
bottle8-keyboard3.png,bottle8,keyboard3
bottle4-airplane1.png,bottle4,airplane1
bottle6-knife3.png,bottle6,knife3
bottle5-truck1.png,bottle5,truck1
bottle3-bottle3.png,bottle3,bottle3
bottle1-cat3.png,bottle1,cat3
bottle6-chair2.png,bottle6,chair2
bottle6-bottle3.png,bottle6,bottle3
bottle3-chair3.png,bottle3,chair3
bottle6-bicycle3.png,bottle6,bicycle3
bottle7-airplane3.png,bottle7,airplane3
bottle3-airplane2.png,bottle3,airplane2
bottle3-knife3.png,bottle3,knife3
bottle9-elephant2.png,bottle9,elephant2
bottle5-clock3.png,bottle5,clock3
bottle1-bird3.png,bottle1,bird3
bottle3-bicycle3.png,bottle3,bicycle3
bottle5-oven2.png,bottle5,oven2
bottle8-bottle3.png,bottle8,bottle3
bottle8-dog2.png,bottle8,dog2
bottle7-bear1.png,bottle7,bear1
bottle5-cat1.png,bottle5,cat1
bottle8-elephant3.png,bottle8,elephant3
bottle7-boat3.png,bottle7,boat3
bottle6-airplane1.png,bottle6,airplane1
bottle4-bicycle1.png,bottle4,bicycle1
bottle8-knife1.png,bottle8,knife1
bottle1-bear1.png,bottle1,bear1
bottle5-chair1.png,bottle5,chair1
bottle5-airplane1.png,bottle5,airplane1
bottle9-car3.png,bottle9,car3
bottle2-car2.png,bottle2,car2
bottle5-knife1.png,bottle5,knife1
bottle9-keyboard1.png,bottle9,keyboard1
bottle2-chair3.png,bottle2,chair3
bottle4-oven2.png,bottle4,oven2
bottle5-elephant1.png,bottle5,elephant1
bottle8-bicycle1.png,bottle8,bicycle1
bottle7-keyboard2.png,bottle7,keyboard2
bottle10-bear2.png,bottle10,bear2
bottle2-knife3.png,bottle2,knife3
bottle7-clock1.png,bottle7,clock1
bottle10-boat3.png,bottle10,boat3
bottle9-oven2.png,bottle9,oven2
bottle6-bear2.png,bottle6,bear2
bottle4-car3.png,bottle4,car3
bottle6-boat3.png,bottle6,boat3
bottle2-clock1.png,bottle2,clock1
bottle9-bicycle1.png,bottle9,bicycle1
bottle2-bottle3.png,bottle2,bottle3
bottle4-truck1.png,bottle4,truck1
bottle3-cat3.png,bottle3,cat3
bottle10-truck3.png,bottle10,truck3
bottle2-elephant1.png,bottle2,elephant1
bottle6-bird1.png,bottle6,bird1
bottle9-cat2.png,bottle9,cat2
bottle4-dog2.png,bottle4,dog2
bottle9-truck1.png,bottle9,truck1
