file_name,shape,texture
chair2-bear2.png,chair2,bear2
chair9-dog2.png,chair9,dog2
chair5-cat3.png,chair5,cat3
chair4-cat2.png,chair4,cat2
chair9-bird3.png,chair9,bird3
chair8-keyboard3.png,chair8,keyboard3
chair8-bicycle3.png,chair8,bicycle3
chair3-knife1.png,chair3,knife1
chair10-bottle3.png,chair10,bottle3
chair10-cat1.png,chair10,cat1
chair3-dog2.png,chair3,dog2
chair2-boat1.png,chair2,boat1
chair3-airplane2.png,chair3,airplane2
chair9-bicycle3.png,chair9,bicycle3
chair4-bear2.png,chair4,bear2
chair9-bear1.png,chair9,bear1
chair9-elephant1.png,chair9,elephant1
chair5-truck3.png,chair5,truck3
chair3-car3.png,chair3,car3
chair9-boat2.png,chair9,boat2
chair10-oven1.png,chair10,oven1
chair7-airplane1.png,chair7,airplane1
chair8-car1.png,chair8,car1
chair5-keyboard2.png,chair5,keyboard2
chair5-bird1.png,chair5,bird1
chair5-car1.png,chair5,car1
chair1-oven3.png,chair1,oven3
chair1-chair1.png,chair1,chair1
chair10-car2.png,chair10,car2
chair7-bottle1.png,chair7,bottle1
chair3-bicycle3.png,chair3,bicycle3
chair7-elephant1.png,chair7,elephant1
chair8-boat1.png,chair8,boat1
chair5-bicycle1.png,chair5,bicycle1
chair10-dog1.png,chair10,dog1
chair5-boat3.png,chair5,boat3
chair9-chair3.png,chair9,chair3
chair8-bear1.png,chair8,bear1
chair2-keyboard2.png,chair2,keyboard2
chair7-truck3.png,chair7,truck3
chair4-chair3.png,chair4,chair3
chair1-clock2.png,chair1,clock2
chair10-airplane2.png,chair10,airplane2
chair10-bird3.png,chair10,bird3
chair5-bottle3.png,chair5,bottle3
chair1-elephant1.png,chair1,elephant1
chair7-chair1.png,chair7,chair1
chair7-knife2.png,chair7,knife2
chair4-truck2.png,chair4,truck2
chair6-bird2.png,chair6,bird2
chair9-bottle3.png,chair9,bottle3
chair1-truck3.png,chair1,truck3
chair6-elephant2.png,chair6,elephant2
chair8-airplane1.png,chair8,airplane1
chair7-clock3.png,chair7,clock3
chair2-knife1.png,chair2,knife1
chair7-cat1.png,chair7,cat1
chair4-keyboard2.png,chair4,keyboard2
chair10-bicycle1.png,chair10,bicycle1
chair1-dog1.png,chair1,dog1
chair4-oven2.png,chair4,oven2
chair10-clock1.png,chair10,clock1
chair8-elephant1.png,chair8,elephant1
chair7-bird1.png,chair7,bird1
chair8-chair3.png,chair8,chair3
chair5-knife3.png,chair5,knife3
chair3-bottle3.png,chair3,bottle3
chair8-knife2.png,chair8,knife2
chair6-truck2.png,chair6,truck2
chair1-cat3.png,chair1,cat3
chair6-dog1.png,chair6,dog1
chair1-bear1.png,chair1,bear1
chair7-boat3.png,chair7,boat3
chair7-car2.png,chair7,car2
chair9-keyboard2.png,chair9,keyboard2
chair5-clock2.png,chair5,clock2
chair8-clock3.png,chair8,clock3
chair1-airplane2.png,chair1,airplane2
chair5-oven2.png,chair5,oven2
chair8-oven1.png,chair8,oven1
