file_name,shape,texture
clock7-bicycle1.png,clock7,bicycle1
clock4-oven1.png,clock4,oven1
clock3-dog2.png,clock3,dog2
clock6-clock2.png,clock6,clock2
clock6-bottle1.png,clock6,bottle1
clock2-dog1.png,clock2,dog1
clock3-car2.png,clock3,car2
clock6-chair3.png,clock6,chair3
clock4-airplane1.png,clock4,airplane1
clock6-bicycle1.png,clock6,bicycle1
clock10-oven2.png,clock10,oven2
clock6-bird3.png,clock6,bird3
clock8-keyboard1.png,clock8,keyboard1
clock8-truck2.png,clock8,truck2
clock6-knife2.png,clock6,knife2
clock4-car2.png,clock4,car2
clock8-oven3.png,clock8,oven3
clock7-boat3.png,clock7,boat3
clock7-bear2.png,clock7,bear2
clock5-oven1.png,clock5,oven1
clock10-clock3.png,clock10,clock3
clock4-elephant2.png,clock4,elephant2
clock3-cat1.png,clock3,cat1
clock4-knife1.png,clock4,knife1
clock9-airplane1.png,clock9,airplane1
clock1-clock2.png,clock1,clock2
clock1-boat3.png,clock1,boat3
clock3-elephant3.png,clock3,elephant3
clock7-truck3.png,clock7,truck3
clock4-chair1.png,clock4,chair1
clock10-airplane1.png,clock10,airplane1
clock5-keyboard1.png,clock5,keyboard1
clock9-cat1.png,clock9,cat1
clock8-cat1.png,clock8,cat1
clock9-chair3.png,clock9,chair3
clock10-knife3.png,clock10,knife3
clock1-bear1.png,clock1,bear1
clock6-oven1.png,clock6,oven1
clock10-bottle1.png,clock10,bottle1
clock1-car1.png,clock1,car1
clock2-bottle3.png,clock2,bottle3
clock4-boat3.png,clock4,boat3
clock2-clock3.png,clock2,clock3
clock2-elephant2.png,clock2,elephant2
clock10-truck2.png,clock10,truck2
clock10-bird3.png,clock10,bird3
clock8-airplane2.png,clock8,airplane2
clock2-bear2.png,clock2,bear2
clock7-cat2.png,clock7,cat2
clock9-bird2.png,clock9,bird2
clock10-boat2.png,clock10,boat2
clock5-elephant2.png,clock5,elephant2
clock1-truck3.png,clock1,truck3
clock10-cat1.png,clock10,cat1
clock7-keyboard2.png,clock7,keyboard2
clock4-bird3.png,clock4,bird3
clock3-keyboard3.png,clock3,keyboard3
clock1-elephant2.png,clock1,elephant2
clock7-bottle2.png,clock7,bottle2
clock2-knife1.png,clock2,knife1
clock1-dog2.png,clock1,dog2
clock8-boat1.png,clock8,boat1
clock5-airplane1.png,clock5,airplane1
clock9-keyboard2.png,clock9,keyboard2
clock6-truck3.png,clock6,truck3
clock3-bird1.png,clock3,bird1
clock5-chair3.png,clock5,chair3
clock4-bottle3.png,clock4,bottle3
clock8-chair2.png,clock8,chair2
clock8-knife1.png,clock8,knife1
clock10-dog3.png,clock10,dog3
clock3-bicycle2.png,clock3,bicycle2
clock7-dog2.png,clock7,dog2
clock8-bear2.png,clock8,bear2
clock2-bicycle1.png,clock2,bicycle1
clock7-car1.png,clock7,car1
clock5-bicycle1.png,clock5,bicycle1
clock3-bear3.png,clock3,bear3
clock6-car2.png,clock6,car2
clock5-clock2.png,clock5,clock2
