file_name,shape,texture
elephant9-chair2.png,elephant9,chair2
elephant2-keyboard3.png,elephant2,keyboard3
elephant9-bicycle2.png,elephant9,bicycle2
elephant7-car3.png,elephant7,car3
elephant6-car3.png,elephant6,car3
elephant6-bird1.png,elephant6,bird1
elephant10-knife3.png,elephant10,knife3
elephant5-bottle2.png,elephant5,bottle2
elephant4-chair3.png,elephant4,chair3
elephant4-clock3.png,elephant4,clock3
elephant2-truck2.png,elephant2,truck2
elephant6-dog2.png,elephant6,dog2
elephant8-bicycle3.png,elephant8,bicycle3
elephant9-airplane2.png,elephant9,airplane2
elephant1-keyboard3.png,elephant1,keyboard3
elephant9-clock3.png,elephant9,clock3
elephant1-chair1.png,elephant1,chair1
elephant7-dog1.png,elephant7,dog1
elephant4-oven1.png,elephant4,oven1
elephant10-keyboard1.png,elephant10,keyboard1
elephant9-elephant3.png,elephant9,elephant3
elephant7-cat1.png,elephant7,cat1
elephant8-truck3.png,elephant8,truck3
elephant5-truck1.png,elephant5,truck1
elephant6-knife2.png,elephant6,knife2
elephant1-dog2.png,elephant1,dog2
elephant3-oven1.png,elephant3,oven1
elephant6-cat2.png,elephant6,cat2
elephant7-airplane3.png,elephant7,airplane3
elephant5-bicycle3.png,elephant5,bicycle3
elephant1-boat2.png,elephant1,boat2
elephant1-bear2.png,elephant1,bear2
elephant7-bird1.png,elephant7,bird1
elephant6-bottle2.png,elephant6,bottle2
elephant3-knife1.png,elephant3,knife1
elephant1-car3.png,elephant1,car3
elephant4-bicycle2.png,elephant4,bicycle2
elephant8-oven3.png,elephant8,oven3
elephant7-bear3.png,elephant7,bear3
elephant3-chair1.png,elephant3,chair1
elephant1-bottle1.png,elephant1,bottle1
elephant3-cat2.png,elephant3,cat2
elephant8-cat1.png,elephant8,cat1
elephant6-bicycle1.png,elephant6,bicycle1
elephant2-boat1.png,elephant2,boat1
elephant1-airplane2.png,elephant1,airplane2
elephant2-cat1.png,elephant2,cat1
elephant4-bird1.png,elephant4,bird1
elephant3-truck1.png,elephant3,truck1
elephant2-bear3.png,elephant2,bear3
elephant8-clock2.png,elephant8,clock2
elephant5-car1.png,elephant5,car1
elephant9-boat3.png,elephant9,boat3
elephant8-elephant1.png,elephant8,elephant1
elephant6-oven1.png,elephant6,oven1
elephant2-airplane3.png,elephant2,airplane3
elephant8-knife2.png,elephant8,knife2
elephant2-bird1.png,elephant2,bird1
elephant6-truck3.png,elephant6,truck3
elephant5-chair3.png,elephant5,chair3
elephant4-boat3.png,elephant4,boat3
elephant4-car3.png,elephant4,car3
elephant10-bear1.png,elephant10,bear1
elephant7-clock2.png,elephant7,clock2
elephant1-oven2.png,elephant1,oven2
elephant8-airplane3.png,elephant8,airplane3
elephant7-bottle3.png,elephant7,bottle3
elephant2-elephant3.png,elephant2,elephant3
elephant8-bird2.png,elephant8,bird2
elephant7-keyboard3.png,elephant7,keyboard3
elephant2-bottle3.png,elephant2,bottle3
elephant8-boat2.png,elephant8,boat2
elephant3-keyboard2.png,elephant3,keyboard2
elephant9-dog3.png,elephant9,dog3
elephant2-clock1.png,elephant2,clock1
elephant7-knife2.png,elephant7,knife2
elephant10-elephant1.png,elephant10,elephant1
elephant5-elephant1.png,elephant5,elephant1
elephant5-bear2.png,elephant5,bear2
elephant8-dog1.png,elephant8,dog1
