file_name,shape,texture
knife9-airplane2.png,knife9,airplane2
knife10-chair1.png,knife10,chair1
knife7-chair2.png,knife7,chair2
knife5-keyboard3.png,knife5,keyboard3
knife7-elephant2.png,knife7,elephant2
knife7-car2.png,knife7,car2
knife10-knife1.png,knife10,knife1
knife6-bird1.png,knife6,bird1
knife1-keyboard3.png,knife1,keyboard3
knife9-bottle2.png,knife9,bottle2
knife6-bicycle1.png,knife6,bicycle1
knife10-keyboard3.png,knife10,keyboard3
knife10-bear3.png,knife10,bear3
knife4-oven2.png,knife4,oven2
knife6-boat3.png,knife6,boat3
knife1-truck2.png,knife1,truck2
knife6-dog2.png,knife6,dog2
knife7-bird3.png,knife7,bird3
knife1-dog1.png,knife1,dog1
knife4-airplane3.png,knife4,airplane3
knife6-truck1.png,knife6,truck1
knife5-knife3.png,knife5,knife3
knife9-elephant2.png,knife9,elephant2
knife1-bird2.png,knife1,bird2
knife5-clock1.png,knife5,clock1
knife5-oven2.png,knife5,oven2
knife7-boat3.png,knife7,boat3
knife7-airplane3.png,knife7,airplane3
knife1-car3.png,knife1,car3
knife6-bottle3.png,knife6,bottle3
knife3-cat1.png,knife3,cat1
knife9-bird1.png,knife9,bird1
knife8-cat2.png,knife8,cat2
knife6-airplane1.png,knife6,airplane1
knife6-clock2.png,knife6,clock2
knife2-bear2.png,knife2,bear2
knife3-knife1.png,knife3,knife1
knife8-bicycle1.png,knife8,bicycle1
knife8-bottle3.png,knife8,bottle3
knife5-dog1.png,knife5,dog1
knife2-cat3.png,knife2,cat3
knife4-boat1.png,knife4,boat1
knife4-car2.png,knife4,car2
knife9-bear3.png,knife9,bear3
knife3-clock2.png,knife3,clock2
knife5-truck3.png,knife5,truck3
knife6-chair3.png,knife6,chair3
knife6-oven3.png,knife6,oven3
knife4-bear1.png,knife4,bear1
knife6-knife1.png,knife6,knife1
knife9-boat1.png,knife9,boat1
knife8-truck3.png,knife8,truck3
knife1-airplane1.png,knife1,airplane1
knife9-bicycle1.png,knife9,bicycle1
knife2-bird1.png,knife2,bird1
knife10-oven3.png,knife10,oven3
knife7-bottle3.png,knife7,bottle3
knife3-keyboard3.png,knife3,keyboard3
knife1-chair1.png,knife1,chair1
knife2-car3.png,knife2,car3
knife4-clock3.png,knife4,clock3
knife3-bear2.png,knife3,bear2
knife1-elephant1.png,knife1,elephant1
knife8-car2.png,knife8,car2
knife2-truck2.png,knife2,truck2
knife1-oven1.png,knife1,oven1
knife4-keyboard1.png,knife4,keyboard1
knife9-chair1.png,knife9,chair1
knife1-clock2.png,knife1,clock2
knife5-cat2.png,knife5,cat2
knife4-cat2.png,knife4,cat2
knife4-knife2.png,knife4,knife2
knife5-bicycle2.png,knife5,bicycle2
knife2-elephant2.png,knife2,elephant2
knife8-boat1.png,knife8,boat1
knife2-bicycle3.png,knife2,bicycle3
knife10-dog1.png,knife10,dog1
knife2-bottle2.png,knife2,bottle2
knife2-dog1.png,knife2,dog1
knife10-elephant3.png,knife10,elephant3
