file_name,shape,texture
oven3-bottle3.png,oven3,bottle3
oven3-clock3.png,oven3,clock3
oven4-elephant3.png,oven4,elephant3
oven2-dog3.png,oven2,dog3
oven1-boat3.png,oven1,boat3
oven6-chair3.png,oven6,chair3
oven10-oven3.png,oven10,oven3
oven6-knife3.png,oven6,knife3
oven6-bicycle1.png,oven6,bicycle1
oven3-car2.png,oven3,car2
oven9-airplane2.png,oven9,airplane2
oven7-elephant1.png,oven7,elephant1
oven5-keyboard2.png,oven5,keyboard2
oven3-knife1.png,oven3,knife1
oven2-car1.png,oven2,car1
oven3-elephant3.png,oven3,elephant3
oven1-bird3.png,oven1,bird3
oven9-car2.png,oven9,car2
oven9-knife3.png,oven9,knife3
oven3-airplane1.png,oven3,airplane1
oven1-clock3.png,oven1,clock3
oven9-chair1.png,oven9,chair1
oven6-bird1.png,oven6,bird1
oven5-bottle3.png,oven5,bottle3
oven4-car1.png,oven4,car1
oven4-knife2.png,oven4,knife2
oven2-oven3.png,oven2,oven3
oven4-chair1.png,oven4,chair1
oven8-cat3.png,oven8,cat3
oven6-bear2.png,oven6,bear2
oven9-clock2.png,oven9,clock2
oven5-dog3.png,oven5,dog3
oven4-clock2.png,oven4,clock2
oven4-dog1.png,oven4,dog1
oven2-truck3.png,oven2,truck3
oven3-cat2.png,oven3,cat2
oven8-keyboard3.png,oven8,keyboard3
oven9-oven1.png,oven9,oven1
oven3-boat3.png,oven3,boat3
oven3-bear2.png,oven3,bear2
oven10-boat2.png,oven10,boat2
oven2-chair1.png,oven2,chair1
oven5-bird1.png,oven5,bird1
oven9-keyboard1.png,oven9,keyboard1
oven5-airplane1.png,oven5,airplane1
oven7-bottle1.png,oven7,bottle1
oven7-clock2.png,oven7,clock2
oven10-bear1.png,oven10,bear1
oven7-oven1.png,oven7,oven1
oven2-bottle1.png,oven2,bottle1
oven4-truck3.png,oven4,truck3
oven10-airplane2.png,oven10,airplane2
oven10-truck2.png,oven10,truck2
oven7-cat1.png,oven7,cat1
oven1-dog3.png,oven1,dog3
oven6-airplane3.png,oven6,airplane3
oven10-cat2.png,oven10,cat2
oven2-boat3.png,oven2,boat3
oven10-bicycle1.png,oven10,bicycle1
oven2-bear3.png,oven2,bear3
oven9-bird3.png,oven9,bird3
oven3-truck1.png,oven3,truck1
oven6-elephant2.png,oven6,elephant2
oven4-keyboard3.png,oven4,keyboard3
oven7-dog2.png,oven7,dog2
oven4-bicycle2.png,oven4,bicycle2
oven1-cat1.png,oven1,cat1
oven8-knife2.png,oven8,knife2
oven2-bicycle1.png,oven2,bicycle1
oven8-chair1.png,oven8,chair1
oven5-bicycle1.png,oven5,bicycle1
oven9-boat2.png,oven9,boat2
oven5-elephant1.png,oven5,elephant1
oven7-car3.png,oven7,car3
oven6-truck1.png,oven6,truck1
oven6-oven3.png,oven6,oven3
oven2-bird2.png,oven2,bird2
oven7-keyboard1.png,oven7,keyboard1
oven9-bear2.png,oven9,bear2
oven4-bottle2.png,oven4,bottle2
